capitulo,subcapitulo,tipo,periodo,assunto,dia-extracao,caminho,nome-arquivo,link,embed,github-csv
Economia,Empréstimo,Mapa,01/01/2022 a 30/06/2022,MEI,22/07/2022,economia/emprestimo/,mei_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=mei,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""mei"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=mei"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/emprestimo/mei_mapa.csv
Economia,Empréstimo,Gráfico,2004 a 30/06/2022,CLT x MEI x PJ,22/07/2022,economia/emprestimo/,clt-mei-pj_grafico.csv,"https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=MEI,CLT,PJ","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""MEI"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""CLT"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""PJ"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=MEI,CLT,PJ"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/economia/emprestimo/clt-mei-pj_grafico.csv
Economia,Dólar,-,-,-,-,-,-,-,-,-
Saúde,SUS,Gráfico,2004 a 30/06/2022,SUS x plano de saúde,22/07/2022,saude/sus/,sus-plano-de-saude_grafico.csv,"https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F02z3bf6,%2Fm%2F02gqxg","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/02z3bf6"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""/m/02gqxg"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F02z3bf6,%2Fm%2F02gqxg"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/sus/sus-plano-de-saude_grafico.csv
Saúde,SUS,Mapa,01/01/2022 a 30/06/2022,SUS,22/07/2022,saude/sus/,sus_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F02z3bf6,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/02z3bf6"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F02z3bf6"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/sus/sus_mapa.csv
Saúde,SUS,Gráfico,2004 a 30/06/2022,Dor x Remédio,22/07/2022,saude/sus/,dor-remedio_grafico.csv,"https://trends.google.com.br/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F062t2,%2Fm%2F0405g08","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/062t2"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""/m/0405g08"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F062t2,%2Fm%2F0405g08"",""guestPath"":""https://trends.google.com.br:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/sus/dor-remedio_grafico.csv
Saúde,Vida saudável,Mapa,01/01/2022 a 30/06/2022,Cerveja,22/07/2022,saude/vida-saudavel/,cerveja_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F01599,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/01599"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F01599"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/vida-saudavel/cerveja_mapa.csv
Saúde,Vida saudável,Gráfico,2004 a 30/06/2022,Cigarro x Cigarro eletrônico,22/07/2022,saude/vida-saudavel/,cigarro-cigarro-eletronico_grafico.csv,"https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F09k76,%2Fm%2F02vlckk","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/09k76"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""/m/02vlckk"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F09k76,%2Fm%2F02vlckk"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/vida-saudavel/cigarro-cigarro-eletronico_grafico.csv
Saúde,Saúde da mulher,-,-,-,-,-,-,-,-,-
Saúde,Doenças,Mapa,01/01/2022 a 30/06/2022,Dengue,22/07/2022,saude/doencas/,dengue_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F09wsg,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/09wsg"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F09wsg"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/saude/doencas/dengue_mapa.csv
